Serial_Number,Representative,Entry_Time,Repeat_Call,Source,Contact_Name,Phone,Type_of_Contact,Type_of_Request,Subject,Description,Status,Actions
148,סיגל,2025-01-02 00:09:20,False,טלפון,יוסי,0521234567,עובד משרד,שאלה,חשמל,החשמל נכבה כל הזמן,טופל,הוזמן טכנאי
149,נועה,2024-12-24 14:56:20,False,טלפון,שלמה,0509872936,לקוח פרטי,בקשה,מדפסות,המקרן לא עובד,הועבר לגורם מטפל,ממתין למענה טכנאי
150,אלון,2025-01-05 08:27:20,False,ווטסאפ,יוסי,0505556677,לקוח פרטי,שאלה,טלפון,הטלוויזיה לא פועלת,בהמתנה,הוצאת המדפסת מהחשמל והחזרה
151,איב,2024-12-26 15:25:20,True,מייל,מיה,0543344556,לקוח פרטי,בקשה,מערכת מחשב,המדפסת עושה רעש חזק,בהמתנה,בדיקת חיבורי המקרן
152,הדר,2024-12-29 20:20:20,False,ווטסאפ,יהודית,0543344556,לקוח פרטי,תקלה,מקרן,הטלפון לא מצלצל,טופל,ממתין למענה טכנאי
153,סיגל,2025-01-04 17:04:20,True,טלפון,מיה,0543344556,לקוח פרטי,שאלה,מערכת מחשב,המקרן לא עובד,הופנה לגורם מטפל,ניקוי המדפסת והחלפת דפים
154,תומר,2024-12-26 10:18:20,False,אחר,יהודית,0503322110,לקוח פרטי,בקשה,מדפסות,האינטרנט לא עובד,בהמתנה,ממתין להגעת טכנאי
155,מיכל,2024-12-24 05:07:20,True,ווטסאפ,שלמה,0503322110,עובד משרד,פניה כללית,מדפסות,המחשב לא נדלק,בהמתנה,הוזמן טכנאי
156,סיגל,2025-01-02 01:05:20,True,טלפון,יהודית,0503322110,עובד משרד,פניה כללית,מחשב,הטלוויזיה לא פועלת,בהמתנה,בדיקת חיבורי המקרן
157,אלון,2024-12-29 06:38:20,True,אחר,יוסי,0543344556,לקוח פרטי,תקלה,מערכת מחשב,המדפסת עושה רעש חזק,טופל,חיבור מחדש של המסך
158,הדר,2025-01-05 21:54:20,True,טלפון,שלמה,0521234567,עובד משרד,שאלה,מערכת מחשב,האינטרנט לא עובד,בהמתנה,ממתין למענה טכנאי
159,ליהי,2025-01-01 06:42:20,True,טלפון,רוני,0501122334,לקוח פרטי,תקלה,אינטרנט,המדפסת לא מחוברת לרשת,הופנה לגורם מטפל,ממתין למענה טכנאי
160,תומר,2024-12-24 21:48:20,False,טלפון,דני,0539988776,לקוח פרטי,שאלה,טלפון,הטלוויזיה לא פועלת,בהמתנה,ממתין להגעת טכנאי
161,רני,2025-01-05 17:12:20,True,טלפון,שלמה,0548765432,לקוח פרטי,בקשה,טלוויזיה,המדפסת עושה רעש חזק,בהמתנה,הוזמן טכנאי
162,יובל,2025-01-05 06:59:20,False,מייל,מיה,0503322110,עובד משרד,פניה כללית,מחשב,החשמל נכבה כל הזמן,הופנה לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
163,תומר,2024-12-28 10:31:20,True,מייל,רוני,0505556677,עובד משרד,בקשה,טלוויזיה,המחשב לא מזהה את המסך,הופנה לגורם מטפל,הוזמן טכנאי
164,סיגל,2025-01-02 00:06:20,True,טלפון,מיה,0548765432,עובד משרד,פניה כללית,מחשב,המקרן לא עובד,טופל,ממתין למענה טכנאי
165,מיכל,2024-12-31 08:26:20,False,מייל,דני,0543344556,לקוח פרטי,שאלה,אינטרנט,המחשב לא נדלק,הופנה לגורם מטפל,ניקוי המדפסת והחלפת דפים
166,נועה,2025-01-02 16:21:20,False,טלפון,שירה,0505556677,עובד משרד,בקשה,מדפסות,החשמל נכבה כל הזמן,טופל,הוזמן טכנאי
167,הדר,2025-01-06 11:31:20,False,אחר,שלמה,0521234567,עובד משרד,שאלה,טלפון,המחשב לא מזהה את המסך,בהמתנה,חיבור מחדש של המסך
168,רני,2024-12-28 04:42:20,True,טלפון,דני,0505556677,לקוח פרטי,פניה כללית,מדפסות,המדפסת לא מחוברת לרשת,הופנה לגורם מטפל,ממתין להגעת טכנאי
169,תומר,2024-12-27 03:37:20,True,ווטסאפ,יוסי,0546677889,לקוח פרטי,בקשה,אינטרנט,המחשב לא מזהה את המסך,הופנה לגורם מטפל,ממתין להגעת טכנאי
170,יובל,2025-01-03 14:07:20,False,טלפון,רוני,0505556677,עובד משרד,תקלה,טלפון,המדפסת עושה רעש חזק,טופל,הוצאת המדפסת מהחשמל והחזרה
171,מיכל,2025-01-04 06:04:20,True,טלפון,אביב,0546677889,עובד משרד,שאלה,מחשב,המקרן לא עובד,הופנה לגורם מטפל,ממתין למענה טכנאי
172,תומר,2024-12-31 23:02:20,True,ווטסאפ,מיה,0548765432,עובד משרד,בקשה,טלפון,המדפסת עושה רעש חזק,הועבר לגורם מטפל,הוזמן טכנאי
173,תומר,2024-12-27 01:47:20,True,טלפון,רוני,0546677889,עובד משרד,בקשה,אינטרנט,המקרן לא עובד,בהמתנה,הוזמן טכנאי
174,אלון,2024-12-30 21:32:20,True,מייל,אביב,0505556677,לקוח פרטי,תקלה,מערכת מחשב,החשמל נכבה כל הזמן,בהמתנה,ממתין למענה טכנאי
175,איב,2024-12-26 05:54:20,True,מייל,שלמה,0505556677,לקוח פרטי,פניה כללית,חשמל,הטלוויזיה לא פועלת,הופנה לגורם מטפל,ממתין למענה טכנאי
176,נועה,2024-12-31 09:05:20,True,טלפון,דני,0539988776,עובד משרד,בקשה,מערכת מחשב,המדפסת עושה רעש חזק,הופנה לגורם מטפל,בדיקת חיבורי המקרן
177,סיגל,2024-12-28 16:18:20,True,מייל,רוני,0543344556,עובד משרד,שאלה,טלפון,המדפסת עושה רעש חזק,הופנה לגורם מטפל,הוזמן טכנאי
178,אלון,2024-12-27 20:03:20,False,טלפון,מיה,0524448888,לקוח פרטי,תקלה,חשמל,המדפסת עושה רעש חזק,בהמתנה,ממתין למענה טכנאי
179,סיגל,2025-01-05 19:28:20,False,אחר,שירה,0505556677,לקוח פרטי,שאלה,אינטרנט,המחשב לא נדלק,בהמתנה,הוזמן טכנאי
180,מיכל,2024-12-30 04:43:20,False,מייל,שלמה,0524448888,עובד משרד,בקשה,מקרן,המדפסת לא מחוברת לרשת,הועבר לגורם מטפל,ממתין למענה טכנאי
181,ליהי,2025-01-03 08:14:20,False,ווטסאפ,שלמה,0543344556,לקוח פרטי,תקלה,טלפון,המדפסת עושה רעש חזק,טופל,ממתין למענה טכנאי
182,תומר,2024-12-28 22:04:20,True,ווטסאפ,אביב,0505556677,לקוח פרטי,בקשה,חשמל,האינטרנט לא עובד,הופנה לגורם מטפל,חיבור מחדש של המסך
183,הדר,2024-12-25 16:32:20,True,ווטסאפ,אביב,0548765432,לקוח פרטי,בקשה,אינטרנט,המחשב לא מזהה את המסך,בהמתנה,ממתין להגעת טכנאי
184,סיגל,2024-12-28 07:58:20,False,אחר,יהודית,0539988776,לקוח פרטי,תקלה,טלפון,המקרן לא עובד,הועבר לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
185,נועה,2024-12-26 10:33:20,False,ווטסאפ,יוסי,0524448888,עובד משרד,בקשה,מחשב,הטלפון לא מצלצל,הופנה לגורם מטפל,ממתין למענה טכנאי
186,הדר,2024-12-23 15:23:20,False,אחר,שלמה,0503322110,לקוח פרטי,פניה כללית,מדפסות,המחשב לא נדלק,הופנה לגורם מטפל,בדיקת חיבורי המקרן
187,ליהי,2024-12-29 15:02:20,False,טלפון,דני,0505556677,עובד משרד,תקלה,מחשב,המדפסת לא מחוברת לרשת,בהמתנה,ניקוי המדפסת והחלפת דפים
188,איב,2024-12-31 23:22:20,True,אחר,רחל,0501122334,לקוח פרטי,פניה כללית,טלפון,המדפסת עושה רעש חזק,הופנה לגורם מטפל,חיבור מחדש של המסך
189,אלון,2024-12-25 18:02:20,True,טלפון,אביב,0543344556,לקוח פרטי,שאלה,טלוויזיה,המקרן לא עובד,טופל,הוזמן טכנאי
190,יובל,2024-12-30 05:26:20,True,אחר,רוני,0543344556,עובד משרד,שאלה,מדפסות,הטלפון לא מצלצל,הועבר לגורם מטפל,ניקוי המדפסת והחלפת דפים
191,מיכל,2025-01-02 17:53:20,True,טלפון,יהודית,0524448888,עובד משרד,שאלה,טלוויזיה,האינטרנט לא עובד,הועבר לגורם מטפל,ניקוי המדפסת והחלפת דפים
192,ליהי,2025-01-03 07:55:20,True,אחר,רוני,0539988776,לקוח פרטי,פניה כללית,אינטרנט,הטלפון לא מצלצל,הועבר לגורם מטפל,ממתין למענה טכנאי
193,סיגל,2024-12-30 20:50:20,False,אחר,רחל,0539988776,לקוח פרטי,פניה כללית,מדפסות,המדפסת לא מחוברת לרשת,טופל,ממתין להגעת טכנאי
194,יובל,2025-01-05 13:49:20,True,אחר,שלמה,0524448888,לקוח פרטי,שאלה,מדפסות,הטלוויזיה לא פועלת,בהמתנה,ממתין להגעת טכנאי
195,איב,2025-01-01 09:05:20,True,מייל,שלמה,0509872936,לקוח פרטי,שאלה,מחשב,הטלפון לא מצלצל,הופנה לגורם מטפל,הוזמן טכנאי
196,ליהי,2024-12-24 09:45:20,True,טלפון,שלמה,0509872936,לקוח פרטי,פניה כללית,מקרן,המדפסת עושה רעש חזק,בהמתנה,ממתין למענה טכנאי
197,יובל,2024-12-29 07:03:20,True,אחר,רחל,0543344556,עובד משרד,פניה כללית,מערכת מחשב,המדפסת לא מחוברת לרשת,הועבר לגורם מטפל,בדיקת חיבורי המקרן
198,תומר,2024-12-27 04:46:20,False,אחר,שירה,0521234567,לקוח פרטי,פניה כללית,מערכת מחשב,האינטרנט לא עובד,הופנה לגורם מטפל,ממתין למענה טכנאי
199,אלון,2025-01-01 19:57:20,True,אחר,רחל,0509872936,לקוח פרטי,פניה כללית,אינטרנט,החשמל נכבה כל הזמן,הועבר לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
200,יובל,2024-12-25 18:05:20,True,אחר,אביב,0546677889,עובד משרד,תקלה,מחשב,האינטרנט לא עובד,טופל,ממתין למענה טכנאי
